Species,Length,GC_Content,AT_Content,G_count,C_Count,A_Count,T_Count,Description
Human,1431,64.64011180992313,35.35988819007687,456,469,247,259,NC_000011.10:c2161209-2159779 Homo sapiens chromos...
Mouse,719,55.63282336578581,44.36717663421419,178,222,163,156,NC_000085.7:52252735-52253453 Mus musculus strain ...
Zebrafish,2995,33.2220367278798,66.7779632721202,536,459,980,1020,NC_133180.1:38758361-38761355 Danio rerio strain T...
